Incident Date,State,City Or County,Address,# Killed,# Injured,#Total
18-Oct-20,Illinois,Chicago,200 block of N Sacramento Blvd,1,4,5
18-Oct-20,Tennessee,Nashville,1100 block of W Grove Ave,0,4,4
17-Oct-20,New York,Lockport,43 S Niagara St,1,5,6
17-Oct-20,South Carolina,Rock Hill,524 N Anderson Rd,0,5,5
16-Oct-20,California,San Jose,175 S Capitol Ave,2,4,6
16-Oct-20,Florida,Orlando,2000 block of N Forsyth Rd,3,1,4
16-Oct-20,Arizona,Mesa,2115 Guadalupe Rd,1,6,7
16-Oct-20,California,San Francisco,200 block of Scherwin St,1,3,4
15-Oct-20,Louisiana,Lafayette,100 block of Laser Ln,2,2,4
15-Oct-20,Maryland,Baltimore,2900 block of Westwood Ave,0,7,7
14-Oct-20,Pennsylvania,Philadelphia,3900 block of  Buist Ave,0,4,4
12-Oct-20,South Carolina,Myrtle Beach,1012 US-501,2,3,5
11-Oct-20,Georgia,Atlanta,330 W Peachtree St NW,0,4,4
10-Oct-20,Illinois,Chicago,100 block of S Keeler Ave,1,3,4
10-Oct-20,South Carolina,Kingstree,55 Williamsburg County Hwy,0,8,8
10-Oct-20,Missouri,Saint Louis (Jennings),8800 block of Shannon Fox Cir,2,2,4
8-Oct-20,Pennsylvania,Philadelphia,4935 Frankford Ave,1,6,7
7-Oct-20,Alaska,Anchorage,200 block of McCarrey St,1,4,5
7-Oct-20,New York,Brooklyn,181 Hegeman Ave,1,3,4
5-Oct-20,District of Columbia,Washington,400 block of Orange St SE,1,3,4
4-Oct-20,Indiana,Indianapolis,5462 Massachusetts Ave,3,4,7
4-Oct-20,Georgia,Atlanta,1570 Joseph E Boone Blvd NW,1,5,6
3-Oct-20,Tennessee,Clarksville,100 block of Tiny Town Rd,0,5,5
3-Oct-20,California,Sacramento,Roanoke Ave and Haywood St,1,3,4
2-Oct-20,California,Los Angeles,51st St and Hoover St,0,4,4
2-Oct-20,Washington,Seattle,9700 block of 59th Ave S,0,4,4
1-Oct-20,Michigan,Detroit,15018 Houston Whittier St,0,5,5
30-Sep-20,North Carolina,Greensboro,700 block of Milton St,0,4,4
30-Sep-20,Florida,Jacksonville,12517 Beach Blvd,0,4,4
30-Sep-20,Wisconsin,Milwaukee,4217 W Fond du Lac Ave,0,7,7
29-Sep-20,Pennsylvania,Philadelphia,4500 block of N 19th St,0,5,5
29-Sep-20,Ohio,Painesville,100 block of Morse Ave,2,2,4
28-Sep-20,Michigan,Detroit,6609 Michigan Ave,0,6,6
27-Sep-20,Ohio,Sandusky,Hancock St and Neil St,1,3,4
27-Sep-20,California,San Bernardino,900 block of N Sierra Way,1,3,4
27-Sep-20,Tennessee,Nashville,619 Millwood Dr,0,4,4
26-Sep-20,Pennsylvania,Philadelphia,100 block of N Lindenwood St,0,4,4
26-Sep-20,Alabama,Enterprise,507 Glover Ave,1,3,4
26-Sep-20,Iowa,Waterloo,501 W 4th St,2,6,8
